Name,Zahl,Seitenanzahl,Label (human),Label (LLM)
IV Python anwenden / Das Python-Ökosystem / Python-Skripte: Dateien strukturieren / Praktikums-Python-Dateien,5.3.3,1,,
IV Python anwenden / Das Python-Ökosystem / Module und Pakete,5.4,0.5,,
IV Python anwenden / Das Python-Ökosystem / Module und Pakete / Ein eigenes Modul,5.4.1,1,,
IV Python anwenden / Das Python-Ökosystem / Module und Pakete / Pythons Modulpriorisierung,5.4.2,1,,
IV Python anwenden / Das Python-Ökosystem / Module und Pakete / Pakete,5.4.3,3,,
IV Python anwenden / Das Python-Ökosystem / Übungsaufgabe,5.5,1,,
IV Python anwenden / Grundlagen,6,0.5,,
IV Python anwenden / Grundlagen / Variablen,6.1,1,,
IV Python anwenden / Grundlagen / Variablen / Initialisierung und Zuweisung,6.1.1,1,,
IV Python anwenden / Grundlagen / Variablen / Variablen und der Arbeitsspeicher,6.1.2,4,,
IV Python anwenden / Grundlagen / Variablen / Veränderung,6.1.3,2,,
IV Python anwenden / Grundlagen / Variablen / Das Nichts,6.1.4,0.5,,
IV Python anwenden / Grundlagen / Variablen / Namenskonvention,6.1.5,0.5,,
IV Python anwenden / Grundlagen / Ausdrücke,6.2,1,,
IV Python anwenden / Grundlagen / Ausdrücke / Arithmetische Operatoren,6.2.1,1,,
IV Python anwenden / Grundlagen / Ausdrücke / Vergleichsoperatoren,6.2.2,1,,
IV Python anwenden / Grundlagen / Ausdrücke / Logische Operatoren,6.2.3,1,,
IV Python anwenden / Grundlagen / Ausdrücke / Bitoperatoren,6.2.4,1,,
IV Python anwenden / Grundlagen / Funktionsaufrufe,6.3,1,,
IV Python anwenden / Grundlagen / Funktionsaufrufe / Module,6.3.1,2,,
IV Python anwenden / Grundlagen / Funktionsaufrufe / Auswertungsreihenfolge,6.3.2,1,,
IV Python anwenden / Grundlagen / Funktionsaufrufe / Erste Schritte,6.3.3,13,,
IV Python anwenden / Datentypen,7,1,,
IV Python anwenden / Datentypen / Übersicht: Built-in Datentypen,7.1,2,,
IV Python anwenden / Datentypen / Zahlenwerte (Built-in),7.2,0.5,,
IV Python anwenden / Datentypen / Zahlenwerte (Built-in) / Ganze Zahlen - int,7.2.1,1,,
IV Python anwenden / Datentypen / Zahlenwerte (Built-in) / Wahrheitswerte - bool,7.2.2,1,,
IV Python anwenden / Datentypen / Zahlenwerte (Built-in) / Fließkommazahlen - float,7.2.3,4,,
IV Python anwenden / Datentypen / Zahlenwerte (Built-in) / int und float in Kombination,7.2.4,1,,
IV Python anwenden / Datentypen / Sequenzen (Built-in),7.3,0.5,,
IV Python anwenden / Datentypen / Sequenzen (Built-in) / Listen - list,7.3.1,16,,
IV Python anwenden / Datentypen / Sequenzen (Built-in) / Tupel - tuple,7.3.2,4,,
IV Python anwenden / Datentypen / Sequenzen (Built-in) / Zahlenbereich - range,7.3.3,1,,
IV Python anwenden / Datentypen / Sequenzen (Built-in) / Zeichenketten - str,7.3.4,7,,
IV Python anwenden / Datentypen / Sets und Mengen (Built-in),7.4,1,,
IV Python anwenden / Datentypen / Sets und Mengen (Built-in) / Mengen - set,7.4.1,8,,
IV Python anwenden / Datentypen / Sets und Mengen (Built-in) / Wörterbücher - dict,7.4.2,4,,
IV Python anwenden / Datentypen / Wichtige Datentypen von externen Bibliotheken,7.5,5,,
IV Python anwenden / Datentypen / Codierung,7.6,1,,
IV Python anwenden / Datentypen / Codierung / Zahlen,7.6.1,2,,
IV Python anwenden / Datentypen / Codierung / Text,7.6.2,2,,
IV Python anwenden / Datentypen / Big picture,7.7,5,,
"IV Python anwenden / Eingaben, Ausgaben, Schnittstellen",8,1,,
